№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
165;Ташкент;Shota Rustaveli (Yakkasaroy);улица Шота Руставели, 37/14;933811380;"""Сафия"" ширинликлари ёнида";Яккасарай;22000 / 3000;24;32000 / 4000;24
166;Ташкент;TTZ  (Mirzo Ulug'bek);улица Гульсанам 3;933813122;Наврўз бозори ёнида;М.Улугбек;22000 / 3000;24;32000 / 4000;24
167;Ташкент;Chorsu;улица Алишера Навои, 40;933778160;Тошкент китоблари маркази (Цирк);Шайхонтохур;22000 / 3000;24;32000 / 4000;24
168;Фергана;Quvasoy;улица Алишера Навои, 24;933772342; Марказий дехкон бозор ;Қувасой;;24 (соат 13:00 гача);;(1-2 кунгача)
169;Фергана;Oltiariq ;ул.Узбекистан, 30;933787544;Стоматология;Олтиариқ;;24 (соат 13:00 гача);;(1-2 кунгача)
170;Фергана;Qo'shtepa ;ул.Шофталибог 11;933784593;Лангар Шифохонаси рўпарасида;Кўштепа;;24 (соат 13:00 гача);;(1-2 кунгача)
171;Фергана;Bog'dod;ул. Мустакиллик  10;933880867;Техномарт Ишонч бинолари;Бағдод;;24 (соат 13:00 гача);;(1-2 кунгача)
172;Фергана;Buvayda (Yangiqo'rg'on);А.Навоий кўчаси 34 уй;933784922;Универсал Банк ёнида;Янгиқўрғон;;24 (соат 13:00 гача);;(1-2 кунгача)
173;Фергана;Beshariq;Олтин Водий кўчаси  45-уй;933818525;Малика ресторани ёнида;Бешарик;;24 (соат 13:00 гача);;(1-2 кунгача)
174;Фергана;Yaypan  (O'zbekiston);Туркистон кўчаси 235-уй;933889853;Оқтепа чорраха;Яйпан;;24 (соат 13:00 гача);;(1-2 кунгача)
175;Фергана;Qo'qon Navoi ;Массив Алишер Навои 44а;933810397\933880951;29-Мактаб;Коканд 3;;24;;(1-2 кунгача)
176;Фергана;Qirguli;Янги аср 21 B ;933889854;Иссик нон;Фергана 3;;24;;(1-2 кунгача)
177;Фергана;Yormozor;Ал-Фаргоний 227;933811770\979442200;8 поликлиника;Фергана 2;;24;;(1-2 кунгача)
178;Фергана;Quqon bozor;Хунармандлар бозори 7-блок 11-дўкон;933811172;INDENIM дўкони;Коканд 2;;24;;(1-2 кунгача)
179;Фергана;Margilan;ул.Мустакиллик 326;933814585;"""Урам"" ошхонаси";   Маргилан;;24 (соат 13:00 гача);;(1-2 кунгача)
180;Фергана;Fargona (Фестивал);ул. Комус 18;933819151;Аъло маркет рўпараси(Фестивал);Фергана 1;;24;;(1-2 кунгача)
181;Фергана;Quqon Charhiy;ул.Чархий 25;933811646;"""Осиё""  тўйхонаси рўпарасида";Коканд 1;;24;;(1-2 кунгача)
182;Фергана;Rishton;ул.Риштанская дом 11;933811378; 1-мактаб рўпарасида;Риштан;;24 (соат 13:00 гача);;(1-2 кунгача)
183;Фергана;Uchko'prik;Учкуприк шахарчаси Дехқон бозори 9-дўкон;933814528;Дехқон бозори;Учкўприк;;24 (соат 13:00 гача);;(1-2 кунгача)
184;Фергана;Quva;Ахмад Яссавий кўчаси, 44;933811470;Отабек тўйхонаси рўпарасида;Қува;;24 (соат 13:00 гача);;(1-2 кунгача)
185;Фергана;Furqat;улица Навбахор, 695;933774536;Ёшлар бекати (Навбаҳор ш. маркази);Фурқат;;24 (соат 13:00 гача);;(1-2 кунгача)
186;Хорезм;Ellikqal'a (Bo'ston shaxri);Халклар дўстлиги 32;933782039;Авиа касса;Элликқалъа;;36;;(2-3 кунгача)
187;Хорезм;Bog'ot;ул.Узбекистанская 11;933781452;Боғот туман хокимлиги;Боғот;;36;;(2-3 кунгача)
188;Хорезм;Xonqa;Халқлар Дўстлиги кўчаси 4-уй;933880517;Халқ банки ёнида;Хонқа;;36;;(2-3 кунгача)
189;Хорезм;Urganch Sholikor;ул. Тадбиркорлар 52;933811788;Турк Бозор;Ургенч 3;;36;;(2-3 кунгача)
190;Хорезм;Urgench Mash'al;Янгиарик кучаси 120;933812803;Coca Cola Заводи;Ургенч 2;;36;;(2-3 кунгача)
191;Хорезм;Hazarasp;А.Навоий куча;933813431;Everbest IT Academy;Хазарасп  ;;36 (соат 13:00 гача);;(2-3 кунгача)
192;Хорезм;Xiva;Феруз кучаси. 78А уй;933813430;Хива шахар ФХДЁ бўлими;Хива ;;36 (соат 13:00 гача);;(2-3 кунгача)
193;Хорезм;Urganch ;ул. Аль-Харезми, 67;933811949/933817606;Миллий Банк;Ургенч 1;;36;;(2-3 кунгача)
194;Хорезм;Qo'shko'pir; Шароф Рашидов кучаси 49А уй;933811418; Узтелеком;Қўшкупир;;36;;(2-3 кунгача)
195;Хорезм;Gurlan;ул. Мустакиллик 29;933814130;Гурлан дехқон бозори;Гурлан;;36;;(2-3 кунгача)
196;Хорезм;Shovot;К.Отаниёзов кўчаси 64-уй;933813221;Суперкасса биноси;Шовот;;36;;(2-3 кунгача)
